mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,zcr,rms,centroid,bandwidth,label
-371.81662,15.579487,-77.25956,-26.756735,-35.850735,17.904285,7.28759,13.9133415,8.021985,-5.084484,-4.6877885,-3.5435045,0.8091287,-11.931494,-6.202483,10.886309,4.547787,3.2877474,-6.661115,-12.176492,0.09010038929180887,0.14581306,3517.0732632617146,3484.035703994015,1
-395.63965,37.125446,-39.781082,-25.94872,-31.750263,-7.4936714,-7.59201,4.5557423,10.240966,6.649177,7.8387923,-2.4207497,-12.121511,-18.611061,-7.922609,6.2964835,7.2210464,6.1169114,-0.45816383,-6.7260075,0.11481275330631399,0.113743246,4199.161276162542,4151.309046477583,1
-322.82907,72.81915,-43.873226,0.9070102,-4.72017,3.4024343,-6.1090784,1.9311417,7.6451197,-2.095681,-0.038240124,3.7283204,4.5505357,5.5755415,-4.712239,-2.5003536,-0.29322028,0.19776262,-5.3759637,-2.6696117,0.14098244083737865,0.043131176,1764.7196208924734,1529.43966453141,1
-92.74729,-2.1264706,-70.45906,-17.5104,-5.4208527,3.7075288,-3.9684672,-6.1530533,6.114237,2.0059528,2.674555,10.798419,3.8013003,2.2698367,-2.4906921,2.7880414,-2.0088654,3.3732765,1.3257941,0.09226812,0.20513973777602523,0.19855854,2615.523981693685,1783.7467706061611,1
-491.19412,55.544094,0.89063513,8.296686,-5.510558,-4.2705216,-16.063549,-11.160427,-10.419491,-9.045915,-8.044022,-9.523527,-8.075311,-7.5181603,-4.919835,-4.4762583,-0.2808503,1.5265582,4.4556546,-0.9515561,0.1724442542664403,0.019283893,6607.935537163413,6129.191791065008,1
-239.12505,28.98431,-89.32057,1.119077,-28.648794,-19.154255,1.8272493,3.7958355,-9.029254,15.203266,-2.256873,4.920907,-5.5304756,-2.8831313,-3.4111502,2.9550328,-8.550968,1.1939762,5.656178,2.8944805,0.24110660389957264,0.069222726,2250.251453178866,1384.8746091550681,1
-92.74729,-2.1264706,-70.45906,-17.5104,-5.4208527,3.7075288,-3.9684672,-6.1530533,6.114237,2.0059528,2.674555,10.798419,3.8013003,2.2698367,-2.4906921,2.7880414,-2.0088654,3.3732765,1.3257941,0.09226812,0.20513973777602523,0.19855854,2615.523981693685,1783.7467706061611,1
-297.05347,45.16621,-138.56865,-23.11565,-1.1472884,25.848219,20.182898,12.643096,7.3480554,-20.541002,-14.614033,8.485405,16.457176,14.436714,-2.0621521,-17.322834,-9.602742,9.642232,8.456485,-0.5519394,0.07173925088652482,0.19716758,2900.24142384202,2518.026697676582,1
-386.50815,39.946053,-112.89079,-25.708721,-8.088534,15.674351,13.729151,10.153549,11.070507,-10.350838,-8.267151,6.7489414,12.047705,15.030159,2.1883206,-11.480323,1.2045474,12.90154,7.3102455,-1.4350742,0.06772391677748227,0.12912795,2928.1307178511192,2751.7113451965515,1
-451.22757,41.9226,-74.86046,-16.12544,-11.398001,9.897192,4.9612103,5.437405,10.460995,5.856838,6.1681757,7.464846,-2.1279774,-1.2104508,6.7439537,9.365747,2.2104375,7.359014,2.869493,-0.035112474,0.08321039727393617,0.06418907,3635.4490807482584,3653.374985180451,1
-409.19775,40.372375,-101.05878,-22.519955,-14.109314,9.629502,1.7961556,10.368503,15.389489,13.34136,4.3881245,-1.4964849,-12.100194,-6.345444,8.186751,17.144264,2.1763322,1.2903999,-1.3590484,4.1173,0.08535918107269504,0.07705362,3278.070719012854,3202.278450059567,1
-378.78607,33.346985,-116.256355,-26.97855,-23.077297,18.114326,13.003169,17.693363,19.497677,5.7788243,-13.916003,-9.243422,1.0010866,11.779612,21.177954,2.4037485,-11.081736,-0.74425817,2.1185913,3.2659023,0.09013637245124113,0.093585536,3473.2860085069797,3212.079292360192,1
-490.65237,35.522675,-48.471676,-12.072174,-13.764126,7.1886806,6.9136515,9.439903,15.943345,10.982305,3.3892605,4.515417,2.2057061,3.1527715,8.281999,4.7172594,-0.65568036,2.4776385,3.0893295,1.1527516,0.06395272329343972,0.045310885,3886.6487507201673,4526.2725890809215,1
-363.60837,8.603066,-128.40785,-25.884222,-29.244892,23.083998,1.9015075,20.043936,26.775452,17.566734,-8.568644,-3.7756193,-16.513695,-3.8561385,26.309713,21.231266,0.4003984,-1.251385,0.67811865,3.773169,0.1028351479388298,0.11295103,3420.022836478396,2925.0151255347682,1
-508.40164,23.621374,-27.66659,-3.6636703,-5.076215,8.418311,8.921805,7.55805,7.8771653,4.9393334,2.2527266,5.166986,7.5903544,3.7881951,2.291059,1.8585954,0.78931594,4.460536,2.6667325,0.80704385,0.06893076795212766,0.03144751,4365.079197500525,5113.506816030986,1
