label,discription
fraud,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
normal,Please don't say like that. Hi hi hi
normal,Thank you!
normal,Oh that was a forwarded message. I thought you send that to me.
normal,Got it. Seventeen pounds for seven hundred ml – hope ok.
normal,Me and him so funny...
normal,Sweetheart
normal,When you login date time... Dad fetching you home now?
normal,What will we do in the shower
normal,I had askd u a question some hours before. Its answer
normal,Well i am definitely need to restock before thanksgiving
normal,said kiss
normal,Probably gonna swing by in a wee bit.
normal,Ya very nice. . .be ready on thursday.
normal,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
normal,Watching cartoon
normal,Do you mind if I ask what happened? You don't have to say if it is uncomfortable.
normal,No problem. I will send to your email.
fraud,You have won ?1
normal,Thats cool! Sometimes slow and gentle. Sometimes rough and hard.
normal,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir i am from jio customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.
fraud,hello sir i am from airtel customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.
fraud,hello sir i am from idea customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.
fraud,hello sir i am from vodafone customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.
fraud,hello sir i am from bsnl customer care center we are doing verification of yours number that's why in your phone four digit opt will have send. tell me that otp.
fraud,hello sir this is your hdfc bank manager. your kyc has been expired.so you have to kyc your self
fraud,hello sir this is your icici bank manager. your kyc has been expired.so you shave to kyc your self
fraud,hello sir this is your axis bank manager. your kyc has been expired.so you have to kyc your self
fraud,hello sir this is your uniun bank manager. your kyc has been expired.so you have to kyc your self
fraud,hello sir this is your sbi bank manager. your kyc has been expired.so you have to kyc your self
fraud,hello sir this is your allahabad bank manager. your kyc has been expired.so you have to kyc your self
fraud,hello sir
fraud,hello sir
fraud,hello i am from income text department you have not registered your aadhar to your pan card. please tell me your aadhar number to coonect to your pan card.
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir
fraud,hello sir 
fraud,hello sir 
fraud,hello sir 
fraud,hello sir 
fraud,hello sir 
fraud,hello sir
fraud,you won a lucky draw for shopping on an amazon
fraud,you won a lucky draw for shopping on an flipkard
fraud,you won a lucky draw for shopping on an myntra
fraud,hello sir we are from covid-19 health care center
fraud,hello sir
fraud,hello sir
fraud,hello sir
normal,hello
normal,hii
normal,hello
fraud,hello
fraud,give me your bank account number and debit card number for deposit money in your bank account.
fraud,hello sir
fraud,hello sir
fraud,hello
fraud,As a valued network customer you have been selected to receive 9000 INR prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
fraud,Had your mobile 11 months or more? you are entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030.
normal,Ok
normal,Is that seriously how you spell his name?
normal,I‘m going to try for 2 months
normal,Did you catch the bus? Are you frying an egg? Did you make a tea? Are you eating your mom's left over dinner? Do you feel my Love ?
normal,I'm back &amp
normal,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
normal,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. 
normal,OK tell me anything about you.
normal,you don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
normal,What you thinked about me. First time you saw me in class.
normal,Do you know what Mallika Sherawat did yesterday?
fraud,Congrats! 1 year special cinema pass for 2 is yours. Dont miss out! 
normal,Sorry
normal,Tell where you reached.
normal,Yes..gauti and sehwag out of odi series.
normal,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
normal,Ha ha ha good joke. Girls are situation seekers.
normal,Its a part of checking IQ.
normal,Sorry my roommates took forever
normal,I plan to give on this month end.
normal,Wah lucky man... Then can save money... Hee...
normal,Finished class where are you.
fraud,HI BABE I AM AT HOME NOW WANNA DO SOMETHING? XXX
normal,ok
normal,you can call me now...
normal,I am waiting machan. Call me once you free.
normal,Thats cool. i am a gentleman and will treat you with dignity and respect.
normal,I like you peoples very much. but i am very shy pa.
normal,Does not operate after  &lt
normal,It's not the same here. Still looking for a job. How much do you earn there.
normal,Sorry
normal,OK. Did you call me just now? 
normal,Ok i am on the way to home.
normal,You will be in the place of that man.
normal,Yup next stop.
normal,I call you later
normal,For real when you getting on you? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
normal,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
normal,I'm really not up to it still tonight babe
normal,come when you are free.
normal,Watching telugu movie. what about you?
normal,i see. When we finish we have loads of loans to pay.
normal,Does that cause prob for you?
normal,I see a cup of coffee animation.
normal,Please don't text me anymore. I have nothing else to say.
normal,Okay name your price as long as its legal! When can I pick them up?
normal,I'm still looking for a car to buy. And have not gone fourth driving test yet.
normal,As per your request 'balle balle' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
normal,wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nice
normal,Umma my life and vava umma love you lot dear
normal,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
normal,All right
normal,How would my ip address test that considering my computer isn't a minecraft server
normal,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
normal,Dont worry. I guess he's busy.
normal,What is the plural of the noun research?
normal,Going for dinner. msg you after.
normal,I'm ok with it because i like to try new things. But i scared you done like me. because you said not too loud. 
normal,Hmm
fraud,Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
fraud,Your Mobile No. was awarded 2000 INR Bonus Caller Prize on 5/9/0021 This is our final try to contact U! download xyz application to get it.
normal,here is my new address -apples&pairs&all that malarky
fraud,Todays Vodafone numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
normal,I am going to sao mu today. Will be done only at 12 
normal,you predict what time you will finish buying?
normal,Good stuff
normal,Just so that you know
normal,Are you there in room.
normal,HEY GIRL. HOW ARE YOU? HOPE YOU ARE WELL ME AND RAM ARE BACK! AGAIN LONG TIME NO SEE! GIVE ME A CALL SUM TIME FROM LUCY
normal,ok
normal,I'm home.
normal,Dear
normal,First answer my question.
fraud,Sunshine Quiz Weekly quize! Win a top Sony DVD call 789654123.
normal,He is there. You call and meet him.
normal,No no. I will check all rooms before activities.
normal,Got see... I lazy to type... I forgot you in lecture... I saw a pouch but like not very nice...
normal,OK
normal,Sir
normal,"A sweet thought: ""Never get tired of doing little things for lovable persons.."" because..somtimes those little things occupy the biggest part in their Hearts.. good night"
normal,I know you are. Can you please open the back?
normal,Yes see ya not on the dot.
normal,Whats the staff name who is taking class for us?
normal,Ummma.will call after check in.our life will begin from qatar so please pray very hard.
